prompt_id,task_id,domain,language,workflow,research_question,prompt
T001_W0_DIRECT,T001,LLM factuality,en,W0_DIRECT,How reliable are large language models when asked to provide scholarly citations for academic writing?,"Research question: How reliable are large language models when asked to provide scholarly citations for academic writing?

Write a related-work paragraph for an academic paper and include references.

Use this exact output structure:
[Body]
One related-work paragraph of 150-250 words using numbered citations such as [1] and [2].

[References]
List 5-8 references by number. Include authors, year, title, venue/source, and DOI when available."
T001_W1_CAUTIOUS,T001,LLM factuality,en,W1_CAUTIOUS,How reliable are large language models when asked to provide scholarly citations for academic writing?,"Research question: How reliable are large language models when asked to provide scholarly citations for academic writing?

Write a related-work paragraph for an academic paper. Cite only papers that you are confident really exist. If you are unsure, do not fabricate a reference. Include DOI when available, but do not guess DOI values. Each reference must be verifiable by author, year, title, or DOI.

Use this exact output structure:
[Body]
One related-work paragraph of 150-250 words using numbered citations such as [1] and [2].

[References]
List 5-8 references by number. Include authors, year, title, venue/source, and DOI when available."
T001_W2_RETRIEVAL_FIRST,T001,LLM factuality,en,W2_RETRIEVAL_FIRST,How reliable are large language models when asked to provide scholarly citations for academic writing?,"Research question: How reliable are large language models when asked to provide scholarly citations for academic writing?

You will be given a list of retrieved candidate papers. Write the related-work paragraph using only those papers. Do not cite papers outside the retrieved list. If the list is insufficient, say so rather than fabricating citations.

[Retrieved Sources]
{{retrieved_sources}}

Use this exact output structure:
[Body]
One related-work paragraph of 150-250 words using numbered citations such as [1] and [2].

[References]
List 5-8 references by number. Include authors, year, title, venue/source, and DOI when available."
T001_W3_VERIFY_REPAIR,T001,LLM factuality,en,W3_VERIFY_REPAIR,How reliable are large language models when asked to provide scholarly citations for academic writing?,"Research question: How reliable are large language models when asked to provide scholarly citations for academic writing?

Write a related-work paragraph for an academic paper. The references will later be automatically verified, so use only real and verifiable references. Do not invent authors, titles, years, venues, or DOI values.

Use this exact output structure:
[Body]
One related-work paragraph of 150-250 words using numbered citations such as [1] and [2].

[References]
List 5-8 references by number. Include authors, year, title, venue/source, and DOI when available."
T002_W0_DIRECT,T002,LLM factuality,zh,W0_DIRECT,大语言模型在生成学术综述段落时容易出现哪些类型的引用错误？,"研究问题：大语言模型在生成学术综述段落时容易出现哪些类型的引用错误？

请写一段学术论文相关工作综述，并加入参考文献。

请严格使用以下结构输出：
[正文]
一段 300-500 字的相关工作综述，使用 [1]、[2] 这类编号引用。

[References]
按编号列出 5-8 条参考文献。每条尽量包含作者、年份、题名、来源和 DOI。"
T002_W1_CAUTIOUS,T002,LLM factuality,zh,W1_CAUTIOUS,大语言模型在生成学术综述段落时容易出现哪些类型的引用错误？,"研究问题：大语言模型在生成学术综述段落时容易出现哪些类型的引用错误？

请写一段学术论文相关工作综述。只引用你确信真实存在的论文；如果不确定，不要编造。尽量给出 DOI，但不要猜 DOI。引用必须能被作者、年份、题名或 DOI 核验。

请严格使用以下结构输出：
[正文]
一段 300-500 字的相关工作综述，使用 [1]、[2] 这类编号引用。

[References]
按编号列出 5-8 条参考文献。每条尽量包含作者、年份、题名、来源和 DOI。"
T002_W2_RETRIEVAL_FIRST,T002,LLM factuality,zh,W2_RETRIEVAL_FIRST,大语言模型在生成学术综述段落时容易出现哪些类型的引用错误？,"研究问题：大语言模型在生成学术综述段落时容易出现哪些类型的引用错误？

下面会提供候选文献列表。请只基于候选文献写相关工作综述，不要引用候选列表之外的论文。如果候选文献不足，请明确说明，而不是编造引用。

[Retrieved Sources]
{{retrieved_sources}}

请严格使用以下结构输出：
[正文]
一段 300-500 字的相关工作综述，使用 [1]、[2] 这类编号引用。

[References]
按编号列出 5-8 条参考文献。每条尽量包含作者、年份、题名、来源和 DOI。"
T002_W3_VERIFY_REPAIR,T002,LLM factuality,zh,W3_VERIFY_REPAIR,大语言模型在生成学术综述段落时容易出现哪些类型的引用错误？,"研究问题：大语言模型在生成学术综述段落时容易出现哪些类型的引用错误？

请先写一段学术论文相关工作综述。随后这些引用会被自动核验；因此请只使用真实、可核验的引用，不要虚构作者、题名、年份、期刊或 DOI。

请严格使用以下结构输出：
[正文]
一段 300-500 字的相关工作综述，使用 [1]、[2] 这类编号引用。

[References]
按编号列出 5-8 条参考文献。每条尽量包含作者、年份、题名、来源和 DOI。"
T003_W0_DIRECT,T003,RAG,en,W0_DIRECT,Does retrieval-augmented generation reduce hallucinated citations in academic writing tasks?,"Research question: Does retrieval-augmented generation reduce hallucinated citations in academic writing tasks?

Write a related-work paragraph for an academic paper and include references.

Use this exact output structure:
[Body]
One related-work paragraph of 150-250 words using numbered citations such as [1] and [2].

[References]
List 5-8 references by number. Include authors, year, title, venue/source, and DOI when available."
T003_W1_CAUTIOUS,T003,RAG,en,W1_CAUTIOUS,Does retrieval-augmented generation reduce hallucinated citations in academic writing tasks?,"Research question: Does retrieval-augmented generation reduce hallucinated citations in academic writing tasks?

Write a related-work paragraph for an academic paper. Cite only papers that you are confident really exist. If you are unsure, do not fabricate a reference. Include DOI when available, but do not guess DOI values. Each reference must be verifiable by author, year, title, or DOI.

Use this exact output structure:
[Body]
One related-work paragraph of 150-250 words using numbered citations such as [1] and [2].

[References]
List 5-8 references by number. Include authors, year, title, venue/source, and DOI when available."
T003_W2_RETRIEVAL_FIRST,T003,RAG,en,W2_RETRIEVAL_FIRST,Does retrieval-augmented generation reduce hallucinated citations in academic writing tasks?,"Research question: Does retrieval-augmented generation reduce hallucinated citations in academic writing tasks?

You will be given a list of retrieved candidate papers. Write the related-work paragraph using only those papers. Do not cite papers outside the retrieved list. If the list is insufficient, say so rather than fabricating citations.

[Retrieved Sources]
{{retrieved_sources}}

Use this exact output structure:
[Body]
One related-work paragraph of 150-250 words using numbered citations such as [1] and [2].

[References]
List 5-8 references by number. Include authors, year, title, venue/source, and DOI when available."
T003_W3_VERIFY_REPAIR,T003,RAG,en,W3_VERIFY_REPAIR,Does retrieval-augmented generation reduce hallucinated citations in academic writing tasks?,"Research question: Does retrieval-augmented generation reduce hallucinated citations in academic writing tasks?

Write a related-work paragraph for an academic paper. The references will later be automatically verified, so use only real and verifiable references. Do not invent authors, titles, years, venues, or DOI values.

Use this exact output structure:
[Body]
One related-work paragraph of 150-250 words using numbered citations such as [1] and [2].

[References]
List 5-8 references by number. Include authors, year, title, venue/source, and DOI when available."
T004_W0_DIRECT,T004,RAG,zh,W0_DIRECT,检索增强生成能否减少学术写作中的虚假引用？,"研究问题：检索增强生成能否减少学术写作中的虚假引用？

请写一段学术论文相关工作综述，并加入参考文献。

请严格使用以下结构输出：
[正文]
一段 300-500 字的相关工作综述，使用 [1]、[2] 这类编号引用。

[References]
按编号列出 5-8 条参考文献。每条尽量包含作者、年份、题名、来源和 DOI。"
T004_W1_CAUTIOUS,T004,RAG,zh,W1_CAUTIOUS,检索增强生成能否减少学术写作中的虚假引用？,"研究问题：检索增强生成能否减少学术写作中的虚假引用？

请写一段学术论文相关工作综述。只引用你确信真实存在的论文；如果不确定，不要编造。尽量给出 DOI，但不要猜 DOI。引用必须能被作者、年份、题名或 DOI 核验。

请严格使用以下结构输出：
[正文]
一段 300-500 字的相关工作综述，使用 [1]、[2] 这类编号引用。

[References]
按编号列出 5-8 条参考文献。每条尽量包含作者、年份、题名、来源和 DOI。"
T004_W2_RETRIEVAL_FIRST,T004,RAG,zh,W2_RETRIEVAL_FIRST,检索增强生成能否减少学术写作中的虚假引用？,"研究问题：检索增强生成能否减少学术写作中的虚假引用？

下面会提供候选文献列表。请只基于候选文献写相关工作综述，不要引用候选列表之外的论文。如果候选文献不足，请明确说明，而不是编造引用。

[Retrieved Sources]
{{retrieved_sources}}

请严格使用以下结构输出：
[正文]
一段 300-500 字的相关工作综述，使用 [1]、[2] 这类编号引用。

[References]
按编号列出 5-8 条参考文献。每条尽量包含作者、年份、题名、来源和 DOI。"
T004_W3_VERIFY_REPAIR,T004,RAG,zh,W3_VERIFY_REPAIR,检索增强生成能否减少学术写作中的虚假引用？,"研究问题：检索增强生成能否减少学术写作中的虚假引用？

请先写一段学术论文相关工作综述。随后这些引用会被自动核验；因此请只使用真实、可核验的引用，不要虚构作者、题名、年份、期刊或 DOI。

请严格使用以下结构输出：
[正文]
一段 300-500 字的相关工作综述，使用 [1]、[2] 这类编号引用。

[References]
按编号列出 5-8 条参考文献。每条尽量包含作者、年份、题名、来源和 DOI。"
T005_W0_DIRECT,T005,Citation verification,en,W0_DIRECT,What automated methods can verify whether a generated citation corresponds to a real scholarly work?,"Research question: What automated methods can verify whether a generated citation corresponds to a real scholarly work?

Write a related-work paragraph for an academic paper and include references.

Use this exact output structure:
[Body]
One related-work paragraph of 150-250 words using numbered citations such as [1] and [2].

[References]
List 5-8 references by number. Include authors, year, title, venue/source, and DOI when available."
T005_W1_CAUTIOUS,T005,Citation verification,en,W1_CAUTIOUS,What automated methods can verify whether a generated citation corresponds to a real scholarly work?,"Research question: What automated methods can verify whether a generated citation corresponds to a real scholarly work?

Write a related-work paragraph for an academic paper. Cite only papers that you are confident really exist. If you are unsure, do not fabricate a reference. Include DOI when available, but do not guess DOI values. Each reference must be verifiable by author, year, title, or DOI.

Use this exact output structure:
[Body]
One related-work paragraph of 150-250 words using numbered citations such as [1] and [2].

[References]
List 5-8 references by number. Include authors, year, title, venue/source, and DOI when available."
T005_W2_RETRIEVAL_FIRST,T005,Citation verification,en,W2_RETRIEVAL_FIRST,What automated methods can verify whether a generated citation corresponds to a real scholarly work?,"Research question: What automated methods can verify whether a generated citation corresponds to a real scholarly work?

You will be given a list of retrieved candidate papers. Write the related-work paragraph using only those papers. Do not cite papers outside the retrieved list. If the list is insufficient, say so rather than fabricating citations.

[Retrieved Sources]
{{retrieved_sources}}

Use this exact output structure:
[Body]
One related-work paragraph of 150-250 words using numbered citations such as [1] and [2].

[References]
List 5-8 references by number. Include authors, year, title, venue/source, and DOI when available."
T005_W3_VERIFY_REPAIR,T005,Citation verification,en,W3_VERIFY_REPAIR,What automated methods can verify whether a generated citation corresponds to a real scholarly work?,"Research question: What automated methods can verify whether a generated citation corresponds to a real scholarly work?

Write a related-work paragraph for an academic paper. The references will later be automatically verified, so use only real and verifiable references. Do not invent authors, titles, years, venues, or DOI values.

Use this exact output structure:
[Body]
One related-work paragraph of 150-250 words using numbered citations such as [1] and [2].

[References]
List 5-8 references by number. Include authors, year, title, venue/source, and DOI when available."
T006_W0_DIRECT,T006,Citation verification,zh,W0_DIRECT,如何自动判断大模型生成的参考文献是否真实存在？,"研究问题：如何自动判断大模型生成的参考文献是否真实存在？

请写一段学术论文相关工作综述，并加入参考文献。

请严格使用以下结构输出：
[正文]
一段 300-500 字的相关工作综述，使用 [1]、[2] 这类编号引用。

[References]
按编号列出 5-8 条参考文献。每条尽量包含作者、年份、题名、来源和 DOI。"
T006_W1_CAUTIOUS,T006,Citation verification,zh,W1_CAUTIOUS,如何自动判断大模型生成的参考文献是否真实存在？,"研究问题：如何自动判断大模型生成的参考文献是否真实存在？

请写一段学术论文相关工作综述。只引用你确信真实存在的论文；如果不确定，不要编造。尽量给出 DOI，但不要猜 DOI。引用必须能被作者、年份、题名或 DOI 核验。

请严格使用以下结构输出：
[正文]
一段 300-500 字的相关工作综述，使用 [1]、[2] 这类编号引用。

[References]
按编号列出 5-8 条参考文献。每条尽量包含作者、年份、题名、来源和 DOI。"
T006_W2_RETRIEVAL_FIRST,T006,Citation verification,zh,W2_RETRIEVAL_FIRST,如何自动判断大模型生成的参考文献是否真实存在？,"研究问题：如何自动判断大模型生成的参考文献是否真实存在？

下面会提供候选文献列表。请只基于候选文献写相关工作综述，不要引用候选列表之外的论文。如果候选文献不足，请明确说明，而不是编造引用。

[Retrieved Sources]
{{retrieved_sources}}

请严格使用以下结构输出：
[正文]
一段 300-500 字的相关工作综述，使用 [1]、[2] 这类编号引用。

[References]
按编号列出 5-8 条参考文献。每条尽量包含作者、年份、题名、来源和 DOI。"
T006_W3_VERIFY_REPAIR,T006,Citation verification,zh,W3_VERIFY_REPAIR,如何自动判断大模型生成的参考文献是否真实存在？,"研究问题：如何自动判断大模型生成的参考文献是否真实存在？

请先写一段学术论文相关工作综述。随后这些引用会被自动核验；因此请只使用真实、可核验的引用，不要虚构作者、题名、年份、期刊或 DOI。

请严格使用以下结构输出：
[正文]
一段 300-500 字的相关工作综述，使用 [1]、[2] 这类编号引用。

[References]
按编号列出 5-8 条参考文献。每条尽量包含作者、年份、题名、来源和 DOI。"
T007_W0_DIRECT,T007,Claim support,en,W0_DIRECT,How can we evaluate whether a cited paper actually supports the claim attributed to it?,"Research question: How can we evaluate whether a cited paper actually supports the claim attributed to it?

Write a related-work paragraph for an academic paper and include references.

Use this exact output structure:
[Body]
One related-work paragraph of 150-250 words using numbered citations such as [1] and [2].

[References]
List 5-8 references by number. Include authors, year, title, venue/source, and DOI when available."
T007_W1_CAUTIOUS,T007,Claim support,en,W1_CAUTIOUS,How can we evaluate whether a cited paper actually supports the claim attributed to it?,"Research question: How can we evaluate whether a cited paper actually supports the claim attributed to it?

Write a related-work paragraph for an academic paper. Cite only papers that you are confident really exist. If you are unsure, do not fabricate a reference. Include DOI when available, but do not guess DOI values. Each reference must be verifiable by author, year, title, or DOI.

Use this exact output structure:
[Body]
One related-work paragraph of 150-250 words using numbered citations such as [1] and [2].

[References]
List 5-8 references by number. Include authors, year, title, venue/source, and DOI when available."
T007_W2_RETRIEVAL_FIRST,T007,Claim support,en,W2_RETRIEVAL_FIRST,How can we evaluate whether a cited paper actually supports the claim attributed to it?,"Research question: How can we evaluate whether a cited paper actually supports the claim attributed to it?

You will be given a list of retrieved candidate papers. Write the related-work paragraph using only those papers. Do not cite papers outside the retrieved list. If the list is insufficient, say so rather than fabricating citations.

[Retrieved Sources]
{{retrieved_sources}}

Use this exact output structure:
[Body]
One related-work paragraph of 150-250 words using numbered citations such as [1] and [2].

[References]
List 5-8 references by number. Include authors, year, title, venue/source, and DOI when available."
T007_W3_VERIFY_REPAIR,T007,Claim support,en,W3_VERIFY_REPAIR,How can we evaluate whether a cited paper actually supports the claim attributed to it?,"Research question: How can we evaluate whether a cited paper actually supports the claim attributed to it?

Write a related-work paragraph for an academic paper. The references will later be automatically verified, so use only real and verifiable references. Do not invent authors, titles, years, venues, or DOI values.

Use this exact output structure:
[Body]
One related-work paragraph of 150-250 words using numbered citations such as [1] and [2].

[References]
List 5-8 references by number. Include authors, year, title, venue/source, and DOI when available."
T008_W0_DIRECT,T008,Claim support,zh,W0_DIRECT,引用真实存在是否足以说明该引用支撑了论文中的论断？,"研究问题：引用真实存在是否足以说明该引用支撑了论文中的论断？

请写一段学术论文相关工作综述，并加入参考文献。

请严格使用以下结构输出：
[正文]
一段 300-500 字的相关工作综述，使用 [1]、[2] 这类编号引用。

[References]
按编号列出 5-8 条参考文献。每条尽量包含作者、年份、题名、来源和 DOI。"
T008_W1_CAUTIOUS,T008,Claim support,zh,W1_CAUTIOUS,引用真实存在是否足以说明该引用支撑了论文中的论断？,"研究问题：引用真实存在是否足以说明该引用支撑了论文中的论断？

请写一段学术论文相关工作综述。只引用你确信真实存在的论文；如果不确定，不要编造。尽量给出 DOI，但不要猜 DOI。引用必须能被作者、年份、题名或 DOI 核验。

请严格使用以下结构输出：
[正文]
一段 300-500 字的相关工作综述，使用 [1]、[2] 这类编号引用。

[References]
按编号列出 5-8 条参考文献。每条尽量包含作者、年份、题名、来源和 DOI。"
T008_W2_RETRIEVAL_FIRST,T008,Claim support,zh,W2_RETRIEVAL_FIRST,引用真实存在是否足以说明该引用支撑了论文中的论断？,"研究问题：引用真实存在是否足以说明该引用支撑了论文中的论断？

下面会提供候选文献列表。请只基于候选文献写相关工作综述，不要引用候选列表之外的论文。如果候选文献不足，请明确说明，而不是编造引用。

[Retrieved Sources]
{{retrieved_sources}}

请严格使用以下结构输出：
[正文]
一段 300-500 字的相关工作综述，使用 [1]、[2] 这类编号引用。

[References]
按编号列出 5-8 条参考文献。每条尽量包含作者、年份、题名、来源和 DOI。"
T008_W3_VERIFY_REPAIR,T008,Claim support,zh,W3_VERIFY_REPAIR,引用真实存在是否足以说明该引用支撑了论文中的论断？,"研究问题：引用真实存在是否足以说明该引用支撑了论文中的论断？

请先写一段学术论文相关工作综述。随后这些引用会被自动核验；因此请只使用真实、可核验的引用，不要虚构作者、题名、年份、期刊或 DOI。

请严格使用以下结构输出：
[正文]
一段 300-500 字的相关工作综述，使用 [1]、[2] 这类编号引用。

[References]
按编号列出 5-8 条参考文献。每条尽量包含作者、年份、题名、来源和 DOI。"
T009_W0_DIRECT,T009,LLM agents,en,W0_DIRECT,How can multi-agent workflows improve the reliability of AI-assisted research writing?,"Research question: How can multi-agent workflows improve the reliability of AI-assisted research writing?

Write a related-work paragraph for an academic paper and include references.

Use this exact output structure:
[Body]
One related-work paragraph of 150-250 words using numbered citations such as [1] and [2].

[References]
List 5-8 references by number. Include authors, year, title, venue/source, and DOI when available."
T009_W1_CAUTIOUS,T009,LLM agents,en,W1_CAUTIOUS,How can multi-agent workflows improve the reliability of AI-assisted research writing?,"Research question: How can multi-agent workflows improve the reliability of AI-assisted research writing?

Write a related-work paragraph for an academic paper. Cite only papers that you are confident really exist. If you are unsure, do not fabricate a reference. Include DOI when available, but do not guess DOI values. Each reference must be verifiable by author, year, title, or DOI.

Use this exact output structure:
[Body]
One related-work paragraph of 150-250 words using numbered citations such as [1] and [2].

[References]
List 5-8 references by number. Include authors, year, title, venue/source, and DOI when available."
T009_W2_RETRIEVAL_FIRST,T009,LLM agents,en,W2_RETRIEVAL_FIRST,How can multi-agent workflows improve the reliability of AI-assisted research writing?,"Research question: How can multi-agent workflows improve the reliability of AI-assisted research writing?

You will be given a list of retrieved candidate papers. Write the related-work paragraph using only those papers. Do not cite papers outside the retrieved list. If the list is insufficient, say so rather than fabricating citations.

[Retrieved Sources]
{{retrieved_sources}}

Use this exact output structure:
[Body]
One related-work paragraph of 150-250 words using numbered citations such as [1] and [2].

[References]
List 5-8 references by number. Include authors, year, title, venue/source, and DOI when available."
T009_W3_VERIFY_REPAIR,T009,LLM agents,en,W3_VERIFY_REPAIR,How can multi-agent workflows improve the reliability of AI-assisted research writing?,"Research question: How can multi-agent workflows improve the reliability of AI-assisted research writing?

Write a related-work paragraph for an academic paper. The references will later be automatically verified, so use only real and verifiable references. Do not invent authors, titles, years, venues, or DOI values.

Use this exact output structure:
[Body]
One related-work paragraph of 150-250 words using numbered citations such as [1] and [2].

[References]
List 5-8 references by number. Include authors, year, title, venue/source, and DOI when available."
T010_W0_DIRECT,T010,LLM agents,zh,W0_DIRECT,多智能体工作流如何提升 AI 辅助科研写作的可靠性？,"研究问题：多智能体工作流如何提升 AI 辅助科研写作的可靠性？

请写一段学术论文相关工作综述，并加入参考文献。

请严格使用以下结构输出：
[正文]
一段 300-500 字的相关工作综述，使用 [1]、[2] 这类编号引用。

[References]
按编号列出 5-8 条参考文献。每条尽量包含作者、年份、题名、来源和 DOI。"
T010_W1_CAUTIOUS,T010,LLM agents,zh,W1_CAUTIOUS,多智能体工作流如何提升 AI 辅助科研写作的可靠性？,"研究问题：多智能体工作流如何提升 AI 辅助科研写作的可靠性？

请写一段学术论文相关工作综述。只引用你确信真实存在的论文；如果不确定，不要编造。尽量给出 DOI，但不要猜 DOI。引用必须能被作者、年份、题名或 DOI 核验。

请严格使用以下结构输出：
[正文]
一段 300-500 字的相关工作综述，使用 [1]、[2] 这类编号引用。

[References]
按编号列出 5-8 条参考文献。每条尽量包含作者、年份、题名、来源和 DOI。"
T010_W2_RETRIEVAL_FIRST,T010,LLM agents,zh,W2_RETRIEVAL_FIRST,多智能体工作流如何提升 AI 辅助科研写作的可靠性？,"研究问题：多智能体工作流如何提升 AI 辅助科研写作的可靠性？

下面会提供候选文献列表。请只基于候选文献写相关工作综述，不要引用候选列表之外的论文。如果候选文献不足，请明确说明，而不是编造引用。

[Retrieved Sources]
{{retrieved_sources}}

请严格使用以下结构输出：
[正文]
一段 300-500 字的相关工作综述，使用 [1]、[2] 这类编号引用。

[References]
按编号列出 5-8 条参考文献。每条尽量包含作者、年份、题名、来源和 DOI。"
